#8185d4f2fe0118ad8a87cc15b50de4c64503a2f5aa755d349708c603c027f2847de2d1aaa25b5732b5fac7e5a53a81ed1c89cc15b50d42b074d26f0236361844a8564845be88ec1369a7980a6e1cc15b50dcc15b50de87c7e9f249215726ec570b7980a6e19680f525a895c78dc5c0d2ff45cfc72ef2847de2185bf4a6030b73f990633cc70ebb848debea804d58172c52a0ba8aa5f9bad9f891628a4de08c8078d0c93249f2a285b50042e999f3fcc7
add, 0, , 1, 1029, 343, 40, 40
back, 0, , 1, 655, 478, 70, 42
cagehint, 0, , 1, 1020, 2, 26, 20
cancel, 0, , 1, 729, 393, 50, 50
canttoggle, 0, , 1, 1029, 387, 40, 40
confirm_delete, 0, , 1, 514, 444, 60, 60
confirm_keyboard, 0, , 1, 729, 447, 50, 50
continue, 0, , 1, 901, 261, 60, 100
crash_icon, 0, , 1, 372, 444, 64, 64
cursor, 0, , 1, 1029, 475, 32, 32
delete, 0, , 1, 578, 444, 60, 60
direct, 0, , 1, 1029, 431, 40, 40
doorhint, 0, , 1, 1020, 26, 26, 20
editor, 0, , 1, 901, 365, 70, 78
exit_current_world, 0, , 1, 901, 447, 70, 52
how_to_play_keyboard, 0, , 1, 2, 2, 649, 438
huePane, 0, , 1, 914, 2, 38, 255
hueSlider, 0, , 1, 1020, 116, 38, 8
interact_keyboard, 0, , 1, 965, 235, 50, 50
leverhintactive, 0, , 1, 1020, 50, 26, 20
leverhintinactive, 0, , 1, 1020, 74, 26, 20
move_down_keyboard, 0, , 1, 965, 289, 50, 50
move_left_keyboard, 0, , 1, 975, 343, 50, 50
move_right_keyboard, 0, , 1, 975, 397, 50, 50
move_up_keyboard, 0, , 1, 975, 451, 50, 50
music_off, 0, , 1, 787, 427, 70, 69
music_volume, 0, , 1, 440, 444, 70, 64
next, 0, , 1, 956, 106, 60, 60
pause, 0, , 1, 1019, 235, 50, 50
play, 0, , 1, 956, 2, 60, 100
previous, 0, , 1, 956, 170, 60, 60
quit, 0, , 1, 2, 444, 70, 70
restart_level, 0, , 1, 655, 393, 70, 81
resumeKey, 0, , 1, 1020, 98, 40, 14
save_slot, 0, , 1, 76, 444, 70, 76
saving, 0, , 1, 655, 261, 128, 128
settings, 0, , 1, 150, 444, 70, 70
sound_off, 0, , 1, 224, 444, 70, 67
sound_volume, 0, , 1, 298, 444, 70, 73
svPane, 0, , 1, 655, 2, 255, 255
svSelector, 0, , 1, 1020, 128, 7, 7
switch_to_fullscreen, 0, , 1, 787, 261, 110, 79
switch_to_windowed, 0, , 1, 787, 344, 110, 79
toggle_perspective, 0, , 1, 1019, 289, 50, 50
