#818556cd49a013a98236818abe5cb9c8826ee6fdd3d8445899d154a8a0ad6d2f895fcbe99c5320a82ae03a1f978ae66c944b3aaa6ec4d21db0d3b204633d55561a24f07a2870823bab905a5714e06422472aec36e37ad1ba4a50397ae1ef2f578fc8
angledblockA, 0, , 1, 396, 774, 400, 89
angledblockB, 0, , 1, 1199, 295, 400, 313
angledblockC, 0, , 1, 1199, 2, 826, 289
angledblockD, 0, , 1, 396, 482, 185, 288
blockA, 0, , 1, 1603, 295, 400, 249
blockB, 0, , 1, 2007, 295, 400, 245
blockC, 0, , 1, 2595, 287, 100, 210
blockD, 0, , 1, 2766, 2, 100, 939
blockE, 0, , 1, 396, 867, 300, 60
blockF, 0, , 1, 700, 613, 400, 36
blockG, 0, , 1, 700, 653, 100, 98
blockH, 0, , 1, 2029, 2, 376, 266
blockI, 0, , 1, 2409, 2, 353, 280
blockJ, 0, , 1, 2341, 544, 335, 253
blockK, 0, , 1, 2007, 544, 330, 275
blockL, 0, , 1, 1867, 548, 116, 314
blockM, 0, , 1, 206, 482, 186, 392
blockN, 0, , 1, 1603, 548, 260, 320
ceilingblocksB, 0, , 1, 2007, 823, 700, 116
chute, 0, , 1, 2, 482, 200, 425
darkblock, 0, , 1, 2, 2, 692, 476
darkblockA, 0, , 1, 698, 2, 497, 586
grateA, 0, , 1, 2411, 287, 180, 221
pipeA, 0, , 1, 2870, 2, 100, 500
