#818568ee56ef26622b5e7dbdc46f5007c4e9146eda039249ef7a7436ce16677e0f63b376b1551cb0bae9e8bd22627d57991
rmetal, 0, , 1, 380, 2, 120, 217
rmetalA, 0, , 1, 256, 2, 120, 253
rmetalB, 0, , 1, 504, 2, 120, 123
rmetalC, 0, , 1, 2, 135, 200, 150
rmetalD, 0, , 1, 410, 223, 200, 128
rmetalE, 0, , 1, 2, 289, 200, 148
rmetalF, 0, , 1, 2, 441, 200, 117
rmetalG, 0, , 1, 2, 2, 250, 129
rmetalH, 0, , 1, 410, 355, 200, 124
rmetalI, 0, , 1, 206, 412, 200, 128
rmetalJ, 0, , 1, 206, 259, 200, 149
safetyyellow, 0, , 1, 206, 544, 400, 28
