#8185f052a22ca25e019730941c428e49734b35cb38baf5fc9c2b45471ebc92cc90ec70424de3e9c3c0976ead4675a5714e0b60c1a26568c7a42b685868bb6cbe17e5b5cc23aea7958e3a318b8b42d83cc2469669ef961b4dbb
brokenblock, 0, , 1, 2854, 2, 300, 357
brokenblockA, 0, , 1, 3358, 460, 252, 156
brokenceiling, 0, , 1, 3584, 742, 250, 185
brokenceilingA, 0, , 1, 2854, 460, 500, 170
brokenceilingB, 0, , 1, 787, 2, 699, 451
ceilingback, 0, , 1, 2368, 519, 482, 241
ceilingbackA, 0, , 1, 1882, 653, 482, 264
ceilingbackB, 0, , 1, 1490, 2, 900, 194
ceilingbackC, 0, , 1, 2587, 2, 137, 172
ceilingbackD, 0, , 1, 2194, 200, 389, 314
ceilingblocksA, 0, , 1, 878, 653, 1000, 184
ceilingblocksB, 0, , 1, 2880, 742, 700, 116
ceilingblocksC, 0, , 1, 2368, 764, 508, 208
ceilingblocksD, 0, , 1, 2, 2, 781, 459
ceilingblocksE, 0, , 1, 2854, 363, 1029, 93
ceilingblocksF, 0, , 1, 2854, 634, 839, 103
ceilingblocksG, 0, , 1, 2, 465, 872, 367
ceilingblocksH, 0, , 1, 1490, 200, 700, 204
fallenceiling, 0, , 1, 878, 457, 1295, 192
grateB, 0, , 1, 3158, 2, 350, 248
hangingpipesH, 0, , 1, 3512, 2, 350, 249
ropeblock, 0, , 1, 2587, 178, 100, 118
