#8185fbe1439f800a513876a3dd762b47b6392539be7ad05bc6a2249e7905ec749721642146cb7f56ceb0794722397efc627985d308de86e06b14231eccba0054990
bggrass, 0, , 1, 2, 2, 300, 275
bggrassA, 0, , 1, 306, 2, 250, 205
bghill, 0, , 1, 2, 695, 367, 161
bghillA, 0, , 1, 2, 281, 365, 220
bghillB, 0, , 1, 2, 505, 367, 186
grass, 0, , 1, 477, 658, 100, 115
grassA, 0, , 1, 371, 295, 100, 144
grassB, 0, , 1, 373, 682, 100, 128
grassC, 0, , 1, 475, 295, 100, 142
grassD, 0, , 1, 477, 520, 100, 134
grassE, 0, , 1, 477, 777, 100, 86
grassF, 0, , 1, 373, 814, 100, 78
grassG, 0, , 1, 373, 443, 200, 72
grassH, 0, , 1, 371, 211, 209, 80
grassI, 0, , 1, 373, 519, 94, 159
grassJ, 0, , 1, 560, 2, 59, 100
