#8185945f8e9a8c0c1d582bc0b43929889397a56df6dca59114835eef5c304c1f28a21c4e5ecd55e3f5dd754b326ebe9caa4e3bcbf6ed
icicle, 0, , 1, 360, 2, 180, 216
icicleA, 0, , 1, 360, 222, 180, 148
icicleB, 0, , 1, 544, 2, 90, 105
icicleC, 0, , 1, 544, 166, 80, 56
leaves, 0, , 1, 2, 366, 100, 18
leavesA, 0, , 1, 544, 329, 100, 34
leavesB, 0, , 1, 544, 226, 92, 43
leavesC, 0, , 1, 106, 366, 90, 15
leavesD, 0, , 1, 544, 111, 107, 51
leavesE, 0, , 1, 544, 273, 81, 52
leavesF, 0, , 1, 200, 366, 34, 10
pipesE, 0, , 1, 2, 2, 200, 360
pipesF, 0, , 1, 206, 2, 150, 360
